candidate	imposed_LB	imposed_UB	stem_growth	leaf_growth	root_growth	stem_fraction	leaf_fraction	root_fraction	model_stat	solver_stat
RXN_1_6_5_4_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_LACTALDDEHYDROG_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ALANINE__GLYOXYLATE_AMINOTRANSFERASE_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9848_g__S___LIGHT	-147.59340918	-147.59340918	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3521_x__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12440_p__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMATE_DEHYDROGENASE_NADP_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9848_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_er__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3521_p__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PGLYCDEHYDROG_RXN_p__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PEPDEPHOS_RXN_m__S___LIGHT	-2751.17022536	-2751.17022536	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_6_2_1_34_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_8_5_1_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_FRUCTOKINASE_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_6_2_1_34_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3521_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_FRUCTOKINASE_RXN_p__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_8_5_1_RXN_p__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_6161_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASNSYNB_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12199_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_APYRASE_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_TRANSALDOL_RXN_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_11501_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMATE_DEHYDROGENASE_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12197_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ATPASE_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_11662_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPARAGHYD_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_p__R___LIGHT	-0.00000011	-0.00000011	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_7_13_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_1_90_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_c__R___LIGHT	-0.00000070	-0.00000070	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_25_RXN_c2m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_25_RXN_c2x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_25_RXN_c2p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_NADPYROPHOSPHAT_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_4_RXN_c2er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMIN_RXN_x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_10862_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PREPHENATE_ASP_TRANSAMINE_RXN_c__R___LIGHT	-0.00000070	-0.00000070	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_14455_c2m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_14455_c2p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PHOSPHATIDATE_PHOSPHATASE_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12197_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12196_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ATPASE_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12199_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12200_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPARAGHYD_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASNSYNB_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PHOSPHATIDATE_PHOSPHATASE_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTDEHYD_RXN_c__R___LIGHT	-0.00000070	-0.00000070	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_4_RXN_c2g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN0_1483_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PREPHENATE_ASP_TRANSAMINE_RXN_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_NADPYROPHOSPHAT_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12196_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12198_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9615_c2g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9615_c2m__R___LIGHT	-0.00000006	-0.00000006	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1TRANSKETO_RXN_p__R___LIGHT	-0.00000011	-0.00000011	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_14455_c2g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12197_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_10862_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMIN_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2TRANSKETO_RXN_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_INORGPYROPHOSPHAT_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_TREHALOSE6PSYN_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12199_p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9615_c2er__R___LIGHT	-0.00000006	-0.00000006	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMIN_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASNSYNA_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12195_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_5822_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12197_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMIN_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_APYRASE_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_INORGPYROPHOSPHAT_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9192_x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_5822_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_4_RXN_c2p__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_4_RXN_c2m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_6_2_1_34_RXN_x__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12195_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_INORGPYROPHOSPHAT_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_NQOR_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_14455_c2er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASNSYNA_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_11662_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_6_2_1_34_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMIN_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_4_1_123_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_8_4_9_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_MANNPGUANYLTRANGDP_RXN_m__R___LIGHT	-0.00000020	-0.00000020	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_5822_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASNSYNB_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ATPASE_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12198_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_DIACYLGLYKIN_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12019_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_c__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12199_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASNSYNA_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_INORGPYROPHOSPHAT_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ATPASE_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_THIOREDOXIN_REDUCT_NADPH_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_c__L___DARK	-0.00000010	-0.00000010	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_er__L___DARK	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_g__L___DARK	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_14001_g__L___DARK	-0.50261935	-0.50261935	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN66_526_c__L___DARK	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__L___DARK	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_CELLULOSE_SYNTHASE_UDP_FORMING_RXN_c__L___DARK	0.00004163	0.00004163	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2m__L___DARK	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
